split,image,color_norm,noise,denoise,psnr,ssim,rmse,mse
train,104022,none,none,nlmeans,28.28991307694972,0.689533537672296,9.81848603119259,96.40266794472402
train,104022,none,gaussian,none,26.00423346692979,0.6039654984206715,12.774046921984427,163.17627476505982
train,104022,none,gaussian,gaussian,29.21876383543756,0.8118484037248055,8.822709681833906,77.84020612992576
train,104022,none,gaussian,median,28.591072107790296,0.7587360892459286,9.483891461452332,89.94419725260846
train,104022,none,gaussian,nlmeans,28.66526841579965,0.7182494890921144,9.403223519665982,88.42061256079948
train,104022,none,saltpepper,none,19.71178977418396,0.42904528701748806,26.360320829794386,694.8665142496918
train,104022,none,saltpepper,gaussian,27.129186285315964,0.6913270208690457,11.222273949738707,125.939432602984
train,104022,none,saltpepper,median,30.354464055447092,0.8776705094536839,7.741354893823625,59.928575592127
train,104022,none,saltpepper,nlmeans,20.7906075574273,0.4433090569453438,23.281438061517466,542.0253582122741
train,104022,reinhard,none,none,23.26626626428415,0.900485239687971,17.50761014217088,306.5164128902447
train,104022,reinhard,none,gaussian,23.136352943196915,0.8512281657422743,17.77143646631556,315.82395407629053
train,104022,reinhard,none,median,22.857336683177106,0.8388982190391262,18.351575140701033,336.78031014479615
train,104022,reinhard,none,nlmeans,23.252348459016957,0.7952885079099298,17.535685888354806,307.5002795750459
train,104022,reinhard,gaussian,none,21.52739635998342,0.6024828840450637,21.38800920963919,457.44693795161083
train,104022,reinhard,gaussian,gaussian,23.03765406157103,0.8070457646879904,17.97452727387134,323.08363071914476
train,104022,reinhard,gaussian,median,22.519147106975925,0.7461558906281697,19.080195711530767,364.053868390317
train,104022,reinhard,gaussian,nlmeans,23.204718517917374,0.8060971118783901,17.632108699216236,310.8912571809768
train,104022,reinhard,saltpepper,none,18.141737480418065,0.43271089456534667,31.58299462578364,997.4855495322785
train,104022,reinhard,saltpepper,gaussian,22.959316613102704,0.6985388749456071,18.137371550953322,328.9642467773309
train,104022,reinhard,saltpepper,median,22.79183480511593,0.8322441829171506,18.490490852173902,341.8982519543267
train,104022,reinhard,saltpepper,nlmeans,19.259110477954337,0.47647816278012933,27.77056121783647,771.204070353603
train,104022,gray_world,none,none,32.94404361814698,0.9968430453302446,5.745634552787496,33.01231641418557
train,104022,gray_world,none,gaussian,28.298916306397864,0.8685602926845594,9.808314098526917,96.20302545536191
train,104022,gray_world,none,median,28.627449238474885,0.8806975251080754,9.444255299205702,89.19395815657498
train,104022,gray_world,none,nlmeans,26.982284396549115,0.6862535888560387,11.413687052075653,130.2722521227194
train,104022,gray_world,gaussian,none,25.213393843622413,0.6031408457737865,13.991700113188235,195.76767205739168
train,104022,gray_world,gaussian,gaussian,27.6949981500365,0.8103466024576687,10.5145398890733,110.55554907891357
train,104022,gray_world,gaussian,median,27.245069823040428,0.7570033053334179,11.073545367944739,122.62340701593038
train,104022,gray_world,gaussian,nlmeans,27.18051908005058,0.7158375385628242,11.15614695577587,124.45961489886723
train,104022,gray_world,saltpepper,none,19.49578504194759,0.42731592505337196,27.02408065062002,730.3009350112154
train,104022,gray_world,saltpepper,gaussian,26.167530257494676,0.6880039418868936,12.536135208206087,157.15468595842427
train,104022,gray_world,saltpepper,median,28.49655104110246,0.8760393054734363,9.58766008397475,91.92322588584271
train,104022,gray_world,saltpepper,nlmeans,20.34960434931801,0.435612693379772,24.4940140695048,599.956725237099
train,104022,hist_match,none,none,23.39186130433793,0.8856763511652569,17.256277465491447,297.77911196602787
train,104022,hist_match,none,gaussian,23.46617183647969,0.8531958435554339,17.109274281713198,292.7272664468926
train,104022,hist_match,none,median,22.901937792813918,0.8318738689434159,18.257583300504532,333.339347974862
train,104022,hist_match,none,nlmeans,23.55790529259486,0.8174865741510668,16.929530564165795,286.6090051230238
train,104022,hist_match,gaussian,none,21.428817244257175,0.5980014802469094,21.632131694759117,467.949121659402
train,104022,hist_match,gaussian,gaussian,23.17492438059744,0.8073595930629188,17.69269379920806,313.0314138725354
train,104022,hist_match,gaussian,median,22.593054612337813,0.7441451083664049,18.9185326927679,357.91087924732784
train,104022,hist_match,gaussian,nlmeans,23.181489595040073,0.814042385755577,17.679325860346594,312.5585628763199
train,104022,hist_match,saltpepper,none,18.20927047316551,0.4370411404738051,31.3383882547107,982.0945784029897
train,104022,hist_match,saltpepper,gaussian,23.25513013223649,0.7071073271696577,17.53007094964676,307.3033874996492
train,104022,hist_match,saltpepper,median,22.827980464454008,0.824851664231001,18.41370398374382,339.064494400943
